person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
Customs Inspector John Stout,"United States Department of the Treasury - Customs Service, US","EOW: Friday, January 21, 1814",Cause of Death: Gunfire,Gunfire,1814-01-21,1814,FALSE,United States Department of the Treasury - Customs Service, US
Sheriff John Coor Pender,"Wayne County Sheriff's Office, NC","EOW: Monday, January 1, 1816",Cause of Death: Gunfire,Gunfire,1816-01-01,1816,FALSE,Wayne County Sheriff's Office, NC
Sheriff Caleb Hewitt,"Davidson County Sheriff's Office, TN","EOW: Monday, September 9, 1816",Cause of Death: Assault,Assault,1816-09-09,1816,FALSE,Davidson County Sheriff's Office, TN
Deputy Sheriff William Huddleston,"Schoharie County Sheriff's Department, NY","EOW: Friday, October 9, 1818",Cause of Death: Assault,Assault,1818-10-09,1818,FALSE,Schoharie County Sheriff's Department, NY
"Constable Jacob Dearduff, Sr.","Jamestown Police Department, OH","EOW: Saturday, February 22, 1823",Cause of Death: Stabbed,Stabbed,1823-02-22,1823,FALSE,Jamestown Police Department, OH
Constable Elijah Chenault,"Alexandria Police Department, VA","EOW: Monday, August 4, 1823",Cause of Death: Assault,Assault,1823-08-04,1823,FALSE,Alexandria Police Department, VA
Constable Robert Murphy,"Franklin County Sheriff's Department, IN","EOW: Thursday, November 11, 1824",Cause of Death: Stabbed,Stabbed,1824-11-11,1824,FALSE,Franklin County Sheriff's Department, IN
Constable William Davidson,"Pennsylvania State Constable - Venango County, PA","EOW: Thursday, April 14, 1825",Cause of Death: Gunfire,Gunfire,1825-04-14,1825,FALSE,Pennsylvania State Constable - Venango County, PA
Watch Officer Jonathan Houghton,"Boston Watch, MA","EOW: Monday, December 19, 1825",Cause of Death: Assault,Assault,1825-12-19,1825,FALSE,Boston Watch, MA
Watchman Gerrard Arnold,"Alexandria Police Department, VA","EOW: Sunday, September 9, 1827",Cause of Death: Assault,Assault,1827-09-09,1827,FALSE,Alexandria Police Department, VA
Watchman Steven Heimer,"Philadelphia Police Department, PA","EOW: Tuesday, January 8, 1828",Cause of Death: Gunfire,Gunfire,1828-01-08,1828,FALSE,Philadelphia Police Department, PA
Sheriff Thomas Griffin Thornton,"Caroline County Sheriff's Office, VA","EOW: Saturday, June 12, 1830",Cause of Death: Gunfire,Gunfire,1830-06-12,1830,FALSE,Caroline County Sheriff's Office, VA
Town Sergeant John Smith,"Foster Police Department, RI","EOW: Thursday, June 21, 1832",Cause of Death: Assault,Assault,1832-06-21,1832,FALSE,Foster Police Department, RI
Guard Ezra Hoskins,"Connecticut Department of Correction, CT","EOW: Wednesday, May 1, 1833",Cause of Death: Assault,Assault,1833-05-01,1833,FALSE,Connecticut Department of Correction, CT
Sheriff William Gresham,"Harrison County Sheriff's Department, IN","EOW: Thursday, January 23, 1834",Cause of Death: Stabbed,Stabbed,1834-01-23,1834,FALSE,Harrison County Sheriff's Department, IN
Constable Moore C. Wisdom,"Purdy Constable's Office, TN","EOW: Saturday, August 30, 1834",Cause of Death: Stabbed,Stabbed,1834-08-30,1834,FALSE,Purdy Constable's Office, TN
Watchman Lewis L. Leuba,"New York City Watch, NY","EOW: Wednesday, April 13, 1836",Cause of Death: Stabbed,Stabbed,1836-04-13,1836,FALSE,New York City Watch, NY
Constable William Mull,"St. Louis Metropolitan Police Department, MO","EOW: Thursday, April 28, 1836",Cause of Death: Stabbed,Stabbed,1836-04-28,1836,FALSE,St. Louis Metropolitan Police Department, MO
Deputy Sheriff George Hammond,"St. Louis Metropolitan Police Department, MO","EOW: Thursday, April 28, 1836",Cause of Death: Stabbed,Stabbed,1836-04-28,1836,FALSE,St. Louis Metropolitan Police Department, MO
Watchman Kim Hudson,"New York City Watch, NY","EOW: Sunday, August 28, 1836",Cause of Death: Stabbed,Stabbed,1836-08-28,1836,FALSE,New York City Watch, NY
Private David Clark,"Texas Rangers, TX","EOW: Saturday, January 7, 1837",Cause of Death: Gunfire,Gunfire,1837-01-07,1837,FALSE,Texas Rangers, TX
Second Lieutenant Alfred H. Miles,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault,Assault,1837-11-10,1837,FALSE,Texas Rangers, TX
Private Jesse Blair,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault,Assault,1837-11-10,1837,FALSE,Texas Rangers, TX
Private Alexander Bostwick,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Gunfire,Gunfire,1837-11-10,1837,FALSE,Texas Rangers, TX
Private James Christian,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault,Assault,1837-11-10,1837,FALSE,Texas Rangers, TX
Private Joseph Cooper,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Gunfire,Gunfire,1837-11-10,1837,FALSE,Texas Rangers, TX
Private James Joslen,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault,Assault,1837-11-10,1837,FALSE,Texas Rangers, TX
Private Westley Nicholson,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault,Assault,1837-11-10,1837,FALSE,Texas Rangers, TX
Private William Nicholson,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Gunfire,Gunfire,1837-11-10,1837,FALSE,Texas Rangers, TX
Private William Sanders,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Gunfire,Gunfire,1837-11-10,1837,FALSE,Texas Rangers, TX
Private Lewis F. Scheuster,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault,Assault,1837-11-10,1837,FALSE,Texas Rangers, TX
Deputy Sheriff Nester Young,"Ashtabula County Sheriff's Department, OH","EOW: Monday, January 15, 1838",Cause of Death: Gunfire,Gunfire,1838-01-15,1838,FALSE,Ashtabula County Sheriff's Department, OH
Private Julius Bullock,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause of Death: Assault,Assault,1838-10-12,1838,FALSE,Texas Rangers, TX
Private John W. Carpenter,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause of Death: Assault,Assault,1838-10-12,1838,FALSE,Texas Rangers, TX
Private Thomas M. Scott,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause of Death: Assault,Assault,1838-10-12,1838,FALSE,Texas Rangers, TX
Private John Wilson,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause of Death: Assault,Assault,1838-10-12,1838,FALSE,Texas Rangers, TX
Private James Hall,"Texas Rangers, TX","EOW: Monday, December 17, 1838",Cause of Death: Assault,Assault,1838-12-17,1838,FALSE,Texas Rangers, TX
Deputy U.S. Marshal John Gatewood,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, February 2, 1839",Cause of Death: Gunfire,Gunfire,1839-02-02,1839,FALSE,United States Department of Justice - United States Marshals Service, US
Captain Jacob Shipman Burleson,"Texas Rangers, TX","EOW: Monday, February 25, 1839",Cause of Death: Gunfire,Gunfire,1839-02-25,1839,FALSE,Texas Rangers, TX
Private Edward Blakey,"Texas Rangers, TX","EOW: Monday, February 25, 1839",Cause of Death: Gunfire,Gunfire,1839-02-25,1839,FALSE,Texas Rangers, TX
Private John B. Walters,"Texas Rangers, TX","EOW: Monday, February 25, 1839",Cause of Death: Gunfire,Gunfire,1839-02-25,1839,FALSE,Texas Rangers, TX
Private James Gilleland,"Texas Rangers, TX","EOW: Thursday, March 7, 1839",Cause of Death: Gunfire,Gunfire,1839-03-07,1839,FALSE,Texas Rangers, TX
Captain John Bird,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause of Death: Assault,Assault,1839-05-26,1839,FALSE,Texas Rangers, TX
First Sergeant William H. Weaver,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause of Death: Gunfire,Gunfire,1839-05-26,1839,FALSE,Texas Rangers, TX
Private Jesse E. Nash,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause of Death: Assault,Assault,1839-05-26,1839,FALSE,Texas Rangers, TX
Private Thomas Gay,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause of Death: Gunfire,Gunfire,1839-05-26,1839,FALSE,Texas Rangers, TX
Private H. M. C. Hall,"Texas Rangers, TX","EOW: Monday, May 27, 1839",Cause of Death: Gunfire,Gunfire,1839-05-27,1839,FALSE,Texas Rangers, TX
Watchman James P. Van Duzen,"New York City Watch, NY","EOW: Tuesday, June 25, 1839",Cause of Death: Fall,Fall,1839-06-25,1839,FALSE,New York City Watch, NY
Sheriff Joseph L. Hood,"Bexar County Sheriff's Office, TX","EOW: Thursday, March 19, 1840",Cause of Death: Stabbed,Stabbed,1840-03-19,1840,FALSE,Bexar County Sheriff's Office, TX
Town Marshal John Yeomans,"Jacksonville Police Department, FL","EOW: Sunday, May 24, 1840",Cause of Death: Gunfire,Gunfire,1840-05-24,1840,FALSE,Jacksonville Police Department, FL
Sheriff John B. Campbell,"Harrison County Sheriff's Office, TX","EOW: Saturday, January 23, 1841",Cause of Death: Gunfire,Gunfire,1841-01-23,1841,FALSE,Harrison County Sheriff's Office, TX
Guard Cyrus Sells,"Ohio Department of Rehabilitation and Correction, OH","EOW: Wednesday, June 9, 1841",Cause of Death: Assault,Assault,1841-06-09,1841,FALSE,Ohio Department of Rehabilitation and Correction, OH
Prison Guard William Bullard,"Missouri Department of Corrections, MO","EOW: Monday, June 14, 1841",Cause of Death: Assault,Assault,1841-06-14,1841,FALSE,Missouri Department of Corrections, MO
Private Abram Trigg Smith,"Texas Rangers, TX","EOW: Thursday, August 5, 1841",Cause of Death: Gunfire,Gunfire,1841-08-05,1841,FALSE,Texas Rangers, TX
Sheriff Thomas Wooldridge,"Dubois County Sheriff's Department, IN","EOW: Thursday, May 19, 1842",Cause of Death: Gunfire,Gunfire,1842-05-19,1842,FALSE,Dubois County Sheriff's Department, IN
"Warden Charles Lincoln, Jr.","Massachusetts Department of Correction, MA","EOW: Sunday, June 18, 1843",Cause of Death: Stabbed,Stabbed,1843-06-18,1843,FALSE,Massachusetts Department of Correction, MA
Sheriff Samuel B. Wingo,"Shannon County Sheriff's Department, MO","EOW: Thursday, August 31, 1843",Cause of Death: Gunfire,Gunfire,1843-08-31,1843,FALSE,Shannon County Sheriff's Department, MO
Sheriff George Lee Phillips,"Ashe County Sheriff's Office, NC","EOW: Saturday, September 23, 1843",Cause of Death: Drowned,Drowned,1843-09-23,1843,FALSE,Ashe County Sheriff's Office, NC
Sheriff Robert D. Lester,"Crawford County Sheriff's Department, WI","EOW: Thursday, March 21, 1844",Cause of Death: Gunfire,Gunfire,1844-03-21,1844,FALSE,Crawford County Sheriff's Department, WI
Sheriff Lewis Williams,"Jackson County Sheriff's Department, FL","EOW: Friday, April 26, 1844",Cause of Death: Gunfire,Gunfire,1844-04-26,1844,FALSE,Jackson County Sheriff's Department, FL
Private Peter Fohr,"Texas Rangers, TX","EOW: Saturday, June 8, 1844",Cause of Death: Assault,Assault,1844-06-08,1844,FALSE,Texas Rangers, TX
Keeper James Gastin,"Pennsylvania Department of Corrections, PA","EOW: Thursday, October 31, 1844",Cause of Death: Assault,Assault,1844-10-31,1844,FALSE,Pennsylvania Department of Corrections, PA
Undersheriff Osman N. Steele,"Delaware County Sheriff's Office, NY","EOW: Thursday, August 7, 1845",Cause of Death: Gunfire,Gunfire,1845-08-07,1845,FALSE,Delaware County Sheriff's Office, NY
Constable John Holton,"Augusta Police Department, KY","EOW: Monday, November 24, 1845",Cause of Death: Stabbed,Stabbed,1845-11-24,1845,FALSE,Augusta Police Department, KY
Sheriff Lansford Stallings,"Cherokee County Sheriff's Office, AL","EOW: Thursday, December 4, 1845",Cause of Death: Gunfire,Gunfire,1845-12-04,1845,FALSE,Cherokee County Sheriff's Office, AL
Lieutenant John M. Brown,"Cherokee Nation Marshal Service, TR","EOW: Sunday, December 28, 1845",Cause of Death: Stabbed,Stabbed,1845-12-28,1845,FALSE,Cherokee Nation Marshal Service, TR
Sheriff Samuel Grimmett,"Montgomery County Sheriff's Office, TX","EOW: Sunday, April 11, 1847",Cause of Death: Gunfire,Gunfire,1847-04-11,1847,FALSE,Montgomery County Sheriff's Office, TX
Deputy Sheriff William Armstrong,"Hampshire County Sheriff's Office, VA","EOW: Friday, June 25, 1847",Cause of Death: Gunfire,Gunfire,1847-06-25,1847,FALSE,Hampshire County Sheriff's Office, VA
Sheriff Enoch B. Morelock,"Sullivan County Sheriff's Office, MO","EOW: Sunday, December 19, 1847",Cause of Death: Gunfire,Gunfire,1847-12-19,1847,FALSE,Sullivan County Sheriff's Office, MO
Watchman David Estes,"Boston Watch, MA","EOW: Thursday, April 27, 1848",Cause of Death: Gunfire,Gunfire,1848-04-27,1848,FALSE,Boston Watch, MA
Watchman John Brasher,"Cincinnati Police Department, OH","EOW: Sunday, May 6, 1849",Cause of Death: Gunfire,Gunfire,1849-05-06,1849,FALSE,Cincinnati Police Department, OH
Watchman Peter Davison,"Cincinnati Police Department, OH","EOW: Monday, June 25, 1849",Cause of Death: Stabbed,Stabbed,1849-06-25,1849,FALSE,Cincinnati Police Department, OH
Patrolman Thomas Lynch,"New York Municipal Police Force, NY","EOW: Thursday, September 27, 1849",Cause of Death: Assault,Assault,1849-09-27,1849,FALSE,New York Municipal Police Force, NY
Patrolman William Helms,"New York Municipal Police Force, NY","EOW: Tuesday, October 16, 1849",Cause of Death: Structure collapse,Structure collapse,1849-10-16,1849,FALSE,New York Municipal Police Force, NY
Major Charles Grandison Bryant,"Texas Rangers, TX","EOW: Saturday, January 12, 1850",Cause of Death: Assault,Assault,1850-01-12,1850,FALSE,Texas Rangers, TX
Police Officer Ephraim Hibler,"St. Louis Metropolitan Police Department, MO","EOW: Sunday, May 26, 1850",Cause of Death: Gunfire,Gunfire,1850-05-26,1850,FALSE,St. Louis Metropolitan Police Department, MO
Private William Gillespie,"Texas Rangers, TX","EOW: Wednesday, May 29, 1850",Cause of Death: Assault,Assault,1850-05-29,1850,FALSE,Texas Rangers, TX
Sheriff Joseph McKinney,"Sacramento County Sheriff's Department, CA","EOW: Thursday, August 15, 1850",Cause of Death: Gunfire,Gunfire,1850-08-15,1850,FALSE,Sacramento County Sheriff's Department, CA
Private John Lemon Wilbarger,"Texas Rangers, TX","EOW: Tuesday, August 20, 1850",Cause of Death: Gunfire,Gunfire,1850-08-20,1850,FALSE,Texas Rangers, TX
"Private Daniel C. ""Doc"" Sullivan","Texas Rangers, TX","EOW: Tuesday, August 20, 1850",Cause of Death: Gunfire,Gunfire,1850-08-20,1850,FALSE,Texas Rangers, TX
Private Samuel Baker Barton,"Texas Rangers, TX","EOW: Monday, January 27, 1851",Cause of Death: Assault,Assault,1851-01-27,1851,FALSE,Texas Rangers, TX
Private William Lackey,"Texas Rangers, TX","EOW: Monday, February 3, 1851",Cause of Death: Assault,Assault,1851-02-03,1851,FALSE,Texas Rangers, TX
Patrolman George T. Gillespie,"New York Municipal Police Force, NY","EOW: Thursday, July 10, 1851",Cause of Death: Assault,Assault,1851-07-10,1851,FALSE,New York Municipal Police Force, NY
Sergeant Michael Foster,"New York Municipal Police Force, NY","EOW: Monday, August 4, 1851",Cause of Death: Stabbed,Stabbed,1851-08-04,1851,FALSE,New York Municipal Police Force, NY
Posseman Edward Gorsuch,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, September 11, 1851",Cause of Death: Gunfire,Gunfire,1851-09-11,1851,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff David Neil,"Smith County Sheriff's Office, TX","EOW: Saturday, September 27, 1851",Cause of Death: Gunfire,Gunfire,1851-09-27,1851,FALSE,Smith County Sheriff's Office, TX
Deputy Sheriff James Holden,"Smith County Sheriff's Office, TX","EOW: Saturday, September 27, 1851",Cause of Death: Gunfire,Gunfire,1851-09-27,1851,FALSE,Smith County Sheriff's Office, TX
Night Policeman William Baker,"Philadelphia Police Department, PA","EOW: Friday, December 26, 1851",Cause of Death: Fire,Fire,1851-12-26,1851,FALSE,Philadelphia Police Department, PA
Captain Chin Chi Kee,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Saturday, January 10, 1852",Cause of Death: Gunfire,Gunfire,1852-01-10,1852,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Sheriff James Preston Fulkerson,"Calhoun County Sheriff's Office, TX","EOW: Sunday, April 4, 1852",Cause of Death: Gunfire,Gunfire,1852-04-04,1852,FALSE,Calhoun County Sheriff's Office, TX
Deputy Sheriff Moses Formwalt,"DeKalb County Sheriff's Office, GA","EOW: Saturday, May 1, 1852",Cause of Death: Stabbed,Stabbed,1852-05-01,1852,FALSE,DeKalb County Sheriff's Office, GA
Watchman William T. Pullan,"Providence City Watch, RI","EOW: Tuesday, May 18, 1852",Cause of Death: Assault,Assault,1852-05-18,1852,FALSE,Providence City Watch, RI
Constable Gideon Manchester,"Fall River Police Department, MA","EOW: Friday, July 16, 1852",Cause of Death: Gunfire,Gunfire,1852-07-16,1852,FALSE,Fall River Police Department, MA
Watchman Joseph Stoddard,"Cincinnati Police Department, OH","EOW: Friday, September 10, 1852",Cause of Death: Stabbed,Stabbed,1852-09-10,1852,FALSE,Cincinnati Police Department, OH
Deputy Sheriff Wesley F. Cherry,"King County Sheriff's Office, WA","EOW: Sunday, March 6, 1853",Cause of Death: Gunfire,Gunfire,1853-03-06,1853,FALSE,King County Sheriff's Office, WA
Night Watchman Samuel H. Ferguson,"Pittsburgh Night Watch, PA","EOW: Thursday, April 21, 1853",Cause of Death: Stabbed,Stabbed,1853-04-21,1853,FALSE,Pittsburgh Night Watch, PA
Deputy Sheriff Rodney Badger,"Salt Lake County Sheriff's Office, UT","EOW: Friday, April 29, 1853",Cause of Death: Drowned,Drowned,1853-04-29,1853,FALSE,Salt Lake County Sheriff's Office, UT
Shadow George Trenchard,"New York Municipal Police Force, NY","EOW: Thursday, June 2, 1853",Cause of Death: Fire,Fire,1853-06-02,1853,FALSE,New York Municipal Police Force, NY
Watchman John Osborne,"Cleveland Police Department, OH","EOW: Thursday, December 1, 1853",Cause of Death: Stabbed,Stabbed,1853-12-01,1853,FALSE,Cleveland Police Department, OH
Constable James Quinn,"Chicago Police Department, IL","EOW: Monday, December 5, 1853",Cause of Death: Assault,Assault,1853-12-05,1853,FALSE,Chicago Police Department, IL
Constable Jack Wheelan,"Los Angeles County Constable's Office, CA","EOW: Wednesday, December 7, 1853",Cause of Death: Stabbed,Stabbed,1853-12-07,1853,FALSE,Los Angeles County Constable's Office, CA
Police Officer George R. Turner,"Stockton Police Department, CA","EOW: Friday, April 14, 1854",Cause of Death: Gunfire,Gunfire,1854-04-14,1854,FALSE,Stockton Police Department, CA
Officer Cyrus Beebe,"Columbus Division of Police, OH","EOW: Thursday, April 27, 1854",Cause of Death: Gunfire,Gunfire,1854-04-27,1854,FALSE,Columbus Division of Police, OH
Deputy U.S. Marshal James Batchelder,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, May 26, 1854",Cause of Death: Gunfire,Gunfire,1854-05-26,1854,FALSE,United States Department of Justice - United States Marshals Service, US
Constable William H. Hardmount,"Monterey County Constable's Office, CA","EOW: Saturday, September 2, 1854",Cause of Death: Gunfire,Gunfire,1854-09-02,1854,FALSE,Monterey County Constable's Office, CA
Patrolman Casper Lauer,"Chicago Police Department, IL","EOW: Monday, September 18, 1854",Cause of Death: Stabbed,Stabbed,1854-09-18,1854,FALSE,Chicago Police Department, IL
Patrolman James Cahill,"New York Municipal Police Force, NY","EOW: Friday, September 29, 1854",Cause of Death: Gunfire,Gunfire,1854-09-29,1854,FALSE,New York Municipal Police Force, NY
Police Officer Maxwell Badgley,"Newark Police Department, NJ","EOW: Monday, October 23, 1854",Cause of Death: Stabbed,Stabbed,1854-10-23,1854,FALSE,Newark Police Department, NJ
Patrolman David Gourley,"New York Municipal Police Force, NY","EOW: Sunday, November 5, 1854",Cause of Death: Stabbed,Stabbed,1854-11-05,1854,FALSE,New York Municipal Police Force, NY
Deputy Sheriff William Harrison Reams,"Laurel County Sheriff's Department, KY","EOW: Friday, November 24, 1854",Cause of Death: Stabbed,Stabbed,1854-11-24,1854,FALSE,Laurel County Sheriff's Department, KY
Policeman John Sheldon,"Sonora Police Department, CA","EOW: Sunday, April 29, 1855",Cause of Death: Stabbed,Stabbed,1855-04-29,1855,FALSE,Sonora Police Department, CA
Sheriff William A. Phoenix,"Amador County Sheriff's Department, CA","EOW: Sunday, August 12, 1855",Cause of Death: Gunfire,Gunfire,1855-08-12,1855,FALSE,Amador County Sheriff's Department, CA
Indian Agent Andrew J. Bolon,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Tuesday, September 25, 1855",Cause of Death: Stabbed,Stabbed,1855-09-25,1855,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Private William H. Clopton,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire,Gunfire,1855-10-03,1855,FALSE,Texas Rangers, TX
Private Willis E. Jones,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire,Gunfire,1855-10-03,1855,FALSE,Texas Rangers, TX
Private H. K. Holland,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire,Gunfire,1855-10-03,1855,FALSE,Texas Rangers, TX
Private Augustus Smith,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire,Gunfire,1855-10-03,1855,FALSE,Texas Rangers, TX
Deputy Sheriff Charles Layton,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause of Death: Gunfire,Gunfire,1855-11-10,1855,FALSE,Monterey County Sheriff's Department, CA
Deputy Sheriff Joaquin De La Torre,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause of Death: Gunfire,Gunfire,1855-11-10,1855,FALSE,Monterey County Sheriff's Department, CA
Deputy Sheriff Jim Beckwith,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause of Death: Gunfire,Gunfire,1855-11-10,1855,FALSE,Monterey County Sheriff's Department, CA
Marshal William H. Richardson,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, November 17, 1855",Cause of Death: Gunfire,Gunfire,1855-11-17,1855,FALSE,United States Department of Justice - United States Marshals Service, US
Night Watchman Thomas Cummins,"New Haven Police Department, CT","EOW: Saturday, November 24, 1855",Cause of Death: Assault,Assault,1855-11-24,1855,FALSE,New Haven Police Department, CT
Marshal Eli R. Doyle,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, December 27, 1855",Cause of Death: Fall,Fall,1855-12-27,1855,FALSE,United States Department of Justice - United States Marshals Service, US
Police Officer Alexander Algeo,"New Orleans Police Department, LA","EOW: Wednesday, March 26, 1856",Cause of Death: Gunfire,Gunfire,1856-03-26,1856,FALSE,New Orleans Police Department, LA
Lieutenant Levi Parker,"Cincinnati Police Department, OH","EOW: Sunday, May 4, 1856",Cause of Death: Gunfire,Gunfire,1856-05-04,1856,FALSE,Cincinnati Police Department, OH
Watchman Neil Mooney,"Philadelphia Police Department, PA","EOW: Sunday, May 25, 1856",Cause of Death: Gunfire,Gunfire,1856-05-25,1856,FALSE,Philadelphia Police Department, PA
City Marshal David Johnson,"Nevada City Police Department, CA","EOW: Monday, November 3, 1856",Cause of Death: Gunfire,Gunfire,1856-11-03,1856,FALSE,Nevada City Police Department, CA
Sheriff W. W. Wright,"Nevada County Sheriff's Office, CA","EOW: Monday, November 3, 1856",Cause of Death: Gunfire,Gunfire,1856-11-03,1856,FALSE,Nevada County Sheriff's Office, CA
Sheriff John F. Taylor,"Winnebago County Sheriff's Office, IL","EOW: Tuesday, November 11, 1856",Cause of Death: Gunfire,Gunfire,1856-11-11,1856,FALSE,Winnebago County Sheriff's Office, IL
Night Watchman John Omayer,"Baltimore City Police Department, MD","EOW: Thursday, November 13, 1856",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1856-11-13,1856,FALSE,Baltimore City Police Department, MD
Police Officer William I. Van Arsdale,"New Brunswick Police Department, NJ","EOW: Sunday, December 7, 1856",Cause of Death: Drowned,Drowned,1856-12-07,1856,FALSE,New Brunswick Police Department, NJ
Deputy Warden Galen Carter Walker,"Massachusetts Department of Correction, MA","EOW: Monday, December 15, 1856",Cause of Death: Stabbed,Stabbed,1856-12-15,1856,FALSE,Massachusetts Department of Correction, MA
Warden Solon Tenney,"Massachusetts Department of Correction, MA","EOW: Monday, December 29, 1856",Cause of Death: Stabbed,Stabbed,1856-12-29,1856,FALSE,Massachusetts Department of Correction, MA
Sheriff James R. Barton,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire,Gunfire,1857-01-23,1857,FALSE,Los Angeles County Sheriff's Department, CA
